node,lv1_relation_text
Accessors,['Accessors is subclass of Methods']
Account Management,['Account Management is synonym of Sales']
Accumulation,"['Accumulation use knowledge of Finding maximum or minimum values', 'Accumulation use knowledge of Finding an average', 'Accumulation use knowledge of Counting items']"
ActionListener,"['ActionListener use knowledge of actionPerformed', 'ActionListener use knowledge of ActionEvent']"
Active Component,['Active Component is synonym of Thread']
Active Directory Management,['Active Directory Management is synonym of User Management (AD)']
Active Testing,['Active Testing is subclass of Security Testing']
Activity,"['Activity is subclass of Software Modeling', 'Activity is subclass of UML']"
Activity Diagram,"['Activity Diagram is subclass of Behavior Diagrams', 'Activity Diagram is subclass of Process Model', 'Activity Diagram is subclass of UML Diagram', 'Activity Diagram is subclass of Behavior', 'Activity Diagram is subclass of UML', 'Activity Diagram use knowledge of SWIMLANE', 'Activity Diagram use knowledge of Flow Diagram', 'Activity Diagram use knowledge of Application', 'Activity Diagram use knowledge of Software']"
Adaptive Software Development (ASD),['Adaptive Software Development (ASD) is subclass of Agile Software Development']
Add Nodes,"['Add Nodes is subclass of Systems Monitoring', 'Add Nodes use knowledge of Server Node', 'Add Nodes use knowledge of Target Node']"
Add nodes,['Add nodes is synonym of Add Nodes']
Add/Edit/Manage User,['Add/Edit/Manage User is subclass of Usecase']
Adding many numbers,"['Adding many numbers use knowledge of Loops', 'Adding many numbers use knowledge of Cumulative Algorithms']"
Address Binding,"['Address Binding use knowledge of Execution Time', 'Address Binding use knowledge of Load Time', 'Address Binding use knowledge of Compile Time']"
Address Space,"['Address Space is subclass of Memory', 'Address Space is subclass of Operating System']"
Addressing,"['Addressing is synonym of Addressing', 'Addressing is subclass of Networking', 'Addressing use knowledge of port', 'Addressing use knowledge of DNS', 'Addressing use knowledge of hostname', 'Addressing use knowledge of IP address']"
Admin,['Admin is subclass of Actor']
Admin Binaries,"['Admin Binaries is subclass of Binaries', 'Admin Binaries use knowledge of sbin']"
Administrative Operations,['Administrative Operations is synonym of Back Office']
Administrator,['Administrator is synonym of Admin']
Adobe XD,['Adobe XD is subclass of Graphic Design']
Advanced Array Operations,"['Advanced Array Operations is subclass of Array Operations', 'Advanced Array Operations use knowledge of ComparingArrays', ""Advanced Array Operations use knowledge of Changing an Array's Size"", 'Advanced Array Operations use knowledge of CopyingArrayElements', 'Advanced Array Operations use knowledge of index of the maximum value', 'Advanced Array Operations use knowledge of MaxArrayValue']"
Advanced Package Tool,['Advanced Package Tool is synonym of APT']
Advanced Persistent Threat,['Advanced Persistent Threat is synonym of APT']
Advertising Agency,['Advertising Agency is synonym of Campaign/Agency Company']
Aggregate,['Aggregate use knowledge of Class Diagram']
Aggregate Array Operations,"['Aggregate Array Operations is synonym of Array Operations', 'Aggregate Array Operations is subclass of Arrays']"
Agile,"['Agile is synonym of Agile Methodologies', 'Agile is synonym of Agile Methodology', 'Agile is synonym of Agile Software Development', 'Agile is subclass of Project Management', 'Agile is subclass of Software Development Methodologies']"
Agile Development,"['Agile Development is subclass of Software Development Methodology', 'Agile Development is subclass of Software Development']"
Agile Framework,['Agile Framework is subclass of Agile']
Agile Infrastructure,['Agile Infrastructure is subclass of Data Center Innovation']
Agile Methodologies,"['Agile Methodologies is synonym of Agile Development Frameworks', 'Agile Methodologies is subclass of Software Development', 'Agile Methodologies use knowledge of Scrum']"
Agile Software Development,"['Agile Software Development is synonym of Agile Development', 'Agile Software Development is subclass of Software Engineering', 'Agile Software Development is subclass of Software Development Life Cycle (SDLC)', 'Agile Software Development use knowledge of Test-driven development', 'Agile Software Development use knowledge of Pair programming', 'Agile Software Development use knowledge of Stand-ups', 'Agile Software Development use knowledge of Sprints', 'Agile Software Development use knowledge of Scrum', 'Agile Software Development use knowledge of Agile Manifesto', 'Agile Software Development use knowledge of MSF team model']"
Agile Unified Process (AUP),['Agile Unified Process (AUP) is subclass of Agile Software Development']
Agoda Services,"['Agoda Services use knowledge of Reliable Solutions', 'Agoda Services use knowledge of Scalable Solutions']"
Aircraft control,['Aircraft control use knowledge of Real-time operating systems']
Alerting,"['Alerting is synonym of Alerting', 'Alerting is subclass of Systems Monitoring', 'Alerting use knowledge of PagerDuty', 'Alerting use knowledge of Alertmanager']"
Alertmanager,"['Alertmanager is synonym of Alertmanager', 'Alertmanager use knowledge of Alerting', 'Alertmanager use knowledge of Prometheus']"
Algorithm,"['Algorithm is subclass of Programming Skill Development', 'Algorithm use knowledge of Decomposition', 'Algorithm use knowledge of Control Structure', 'Algorithm use knowledge of Pseudo-code']"
Algorithm Design,['Algorithm Design is subclass of Computational problem solving']
Algorithmic Thinking,['Algorithmic Thinking is synonym of Algorithm']
Algorithms,"['Algorithms is subclass of Programming', 'Algorithms use knowledge of Logic', 'Algorithms use knowledge of Data']"
Allocation Methods,['Allocation Methods is subclass of Block Allocation']
Allocation of Page Frames,"['Allocation of Page Frames is subclass of Page Replacement', 'Allocation of Page Frames use knowledge of Priority Allocation', 'Allocation of Page Frames use knowledge of Fixed Allocation']"
Alternative Channel,['Alternative Channel is subclass of Authentication Testing']
Amazon Web Services,"['Amazon Web Services is synonym of AWS', 'Amazon Web Services is subclass of Cloud Platform']"
Analysis,"['Analysis is subclass of Software Modeling', 'Analysis use knowledge of Customer Need', 'Analysis use knowledge of Business Requirement', 'Analysis use knowledge of Maintainability', 'Analysis use knowledge of Scalability', 'Analysis use knowledge of Database', 'Analysis use knowledge of Application', 'Analysis use knowledge of Requirement', 'Analysis use knowledge of Definition', 'Analysis use knowledge of System Analysis', 'Analysis use knowledge of Business Analysis']"
Android,"['Android is subclass of Mobile Operating System', 'Android is subclass of Mobile Development', 'Android is subclass of Operating Systems', 'Android use knowledge of Mobile Application Development']"
Android API,['Android API is subclass of Android']
Android Architecture,['Android Architecture is subclass of Android']
Android Runtime,['Android Runtime is subclass of Android Architecture']
Angular,"['Angular is subclass of JavaScript Framework', 'Angular is subclass of JavaScript Frameworks', 'Angular is subclass of Web Development', 'Angular use knowledge of RxJS', 'Angular use knowledge of TypeScript', 'Angular use knowledge of Application Programs']"
Angular 2+,['Angular 2+ is synonym of Angular']
AngularJS,['AngularJS is synonym of Angular']
Animated programs,['Animated programs is subclass of Animation']
Animation,"['Animation is subclass of Graphics', 'Animation is subclass of Programming Skill Development', 'Animation use knowledge of Animated programs', 'Animation use knowledge of Bouncing Ball', 'Animation use knowledge of Delay', 'Animation use knowledge of Pause', 'Animation use knowledge of Update world', 'Animation use knowledge of Setup', 'Animation use knowledge of Animation Loop']"
Animation Loop,"['Animation Loop is subclass of Animation', 'Animation Loop use knowledge of Delay', 'Animation Loop use knowledge of Pause', 'Animation Loop use knowledge of Update world', 'Animation Loop use knowledge of Setup']"
Anomaly Detection,['Anomaly Detection is subclass of Intrusion Detection']
Anonymous,['Anonymous is synonym of Anonymous access']
Anonymous Logon,['Anonymous Logon is synonym of Anonymous access']
Anonymous access,['Anonymous access is subclass of FTP']
AntiVirus,['AntiVirus is subclass of Cybersecurity']
Antivirus,"['Antivirus is synonym of Antivirus', 'Antivirus is subclass of Secure', 'Antivirus is subclass of Applications', 'Antivirus use knowledge of ClamAV']"
Apache,"['Apache is subclass of Web Server', 'Apache use knowledge of Host Alias']"
Apache Cassandra,['Apache Cassandra is synonym of Cassandra']
Apache HTTP Server,"['Apache HTTP Server is synonym of Apache', 'Apache HTTP Server is subclass of Web Server', 'Apache HTTP Server use knowledge of sudo systemctl status apache2', 'Apache HTTP Server use knowledge of systemd', 'Apache HTTP Server use knowledge of apache2ctl configtest', 'Apache HTTP Server use knowledge of a2dissite', 'Apache HTTP Server use knowledge of a2ensite', 'Apache HTTP Server use knowledge of virtual hosts', 'Apache HTTP Server use knowledge of port 443', 'Apache HTTP Server use knowledge of port 80', 'Apache HTTP Server use knowledge of Apache firewall', 'Apache HTTP Server use knowledge of Installation']"
Apache Hadoop,['Apache Hadoop is synonym of Hadoop']
Apache Kafka,['Apache Kafka is synonym of Kafka']
Apache Spark,['Apache Spark is synonym of Spark']
Apache Tomcat,"['Apache Tomcat is synonym of Tomcat', 'Apache Tomcat is subclass of Web Server', 'Apache Tomcat use knowledge of Installation']"
App,['App is synonym of Application']
Applet,"['Applet is subclass of Container', 'Applet use knowledge of JApplet']"
Application,"['Application is synonym of Program', 'Application is synonym of App', 'Application is subclass of Computer Server Configuration', 'Application is subclass of Software', 'Application use knowledge of module', 'Application use knowledge of web/application', 'Application use knowledge of Code', 'Application use knowledge of Framework', 'Application use knowledge of Monitoring', 'Application use knowledge of Security']"
Application Architecture,"['Application Architecture is subclass of Web Application Security', 'Application Architecture is subclass of Architectural Design']"
Application Classes,"['Application Classes is subclass of Java Programming', 'Application Classes is subclass of Classes', 'Application Classes use knowledge of Student class', 'Application Classes use knowledge of Manipulate entities', 'Application Classes use knowledge of Manage entities', 'Application Classes use knowledge of Service classes', 'Application Classes use knowledge of Main method']"
Application Deployment,['Application Deployment use knowledge of Cloud']
Application Designer,"['Application Designer is subclass of Software Development', 'Application Designer use knowledge of Industry Best Practices']"
Application Development,['Application Development is synonym of Software Development']
Application Entry Points,['Application Entry Points is subclass of Information Gathering']
Application Framework,"['Application Framework is synonym of Framework', 'Application Framework is subclass of Android Architecture']"
Application Framework (MVC),"['Application Framework (MVC) is subclass of Framework', 'Application Framework (MVC) use knowledge of MVC']"
Application Platform Configuration,['Application Platform Configuration is subclass of Configuration and Deployment Management Testing']
Application Programming Interface,"['Application Programming Interface is synonym of API', 'Application Programming Interface is synonym of Port/API']"
Application Programming Interface Testing,['Application Programming Interface Testing is synonym of API Testing']
Application Programming Interfaces,['Application Programming Interfaces is synonym of APIs']
Application Programs,['Application Programs is subclass of Software']
Application Proxy Firewall,['Application Proxy Firewall is subclass of Firewalling']
Application Systems,['Application Systems is subclass of Software Engineering']
Application programs,['Application programs is subclass of Software']
Applications,"['Applications is synonym of Applications', 'Applications is subclass of Software', 'Applications use knowledge of Internet of Things', 'Applications use knowledge of Web applications', 'Applications use knowledge of Database']"
Apps for Mobile Devices,['Apps for Mobile Devices is subclass of Interfaces']
Architectural Design,"['Architectural Design is subclass of Software Engineering', 'Architectural Design is subclass of Software Design', 'Architectural Design use knowledge of Model-View-Controller (MVC)']"
Architectural Design Decisions,['Architectural Design Decisions is subclass of Architectural Design']
Architectural Pattern,['Architectural Pattern is synonym of Model Pattern']
Architectural Patterns,['Architectural Patterns is subclass of Architectural Design']
Architectural Views,['Architectural Views is subclass of Architectural Design']
Arguments,['Arguments is synonym of Parameters']
Arithmetic Operations,"['Arithmetic Operations use knowledge of Modulo', 'Arithmetic Operations use knowledge of Division']"
Arithmetic Operators,['Arithmetic Operators is subclass of Operators']
Array Examples,"['Array Examples is subclass of Arrays', 'Array Examples use knowledge of CellBills', 'Array Examples use knowledge of oddNumbers', 'Array Examples use knowledge of numberOfQuestions', 'Array Examples use knowledge of bio201', 'Array Examples use knowledge of cs101', 'Array Examples use knowledge of cars', 'Array Examples use knowledge of answers', 'Array Examples use knowledge of cdTracks', 'Array Examples use knowledge of dailyTemps']"
Array Initialization,"['Array Initialization is subclass of Arrays', 'Array Initialization use knowledge of value', 'Array Initialization use knowledge of initialization list', 'Array Initialization use knowledge of default values']"
Array Operations,"['Array Operations is subclass of Arrays', 'Array Operations use knowledge of loop update', 'Array Operations use knowledge of loop condition', 'Array Operations use knowledge of initialization statement', 'Array Operations use knowledge of for loop']"
Array of Arrays,['Array of Arrays is subclass of Two-Dimensional Arrays']
ArrayList,"['ArrayList use knowledge of Enhanced for Loop', 'ArrayList use knowledge of generic class', 'ArrayList use knowledge of Processing Array Lists', 'ArrayList use knowledge of ArrayList Methods', 'ArrayList use knowledge of ArrayList Constructors', 'ArrayList use knowledge of ArrayList Class']"
ArrayList Class,"['ArrayList Class is subclass of ArrayList', 'ArrayList Class use knowledge of ArrayList Methods', 'ArrayList Class use knowledge of ArrayList Constructors']"
ArrayList Constructors,['ArrayList Constructors is subclass of ArrayList Class']
ArrayList Methods,['ArrayList Methods is subclass of ArrayList Class']
ArrayLists,['ArrayLists is synonym of ArrayList']
Arrays,"['Arrays is synonym of Lists', 'Arrays is subclass of sequence', 'Arrays is subclass of Data', 'Arrays use knowledge of Iteration', 'Arrays use knowledge of Enhanced for Loop', 'Arrays use knowledge of Aggregate Array Operations', 'Arrays use knowledge of Accessing Array Elements', 'Arrays use knowledge of Assigning Initial Values', 'Arrays use knowledge of array data type', 'Arrays use knowledge of NullPointerException', 'Arrays use knowledge of ArrayIndexOutOfBoundsException', 'Arrays use knowledge of new keyword', 'Arrays use knowledge of length', 'Arrays use knowledge of size', 'Arrays use knowledge of index', 'Arrays use knowledge of element', 'Arrays use knowledge of array']"
Arrays as Counters,"['Arrays as Counters is subclass of Arrays', 'Arrays as Counters use knowledge of DieCount2', 'Arrays as Counters use knowledge of SIDES', 'Arrays as Counters use knowledge of roll()', 'Arrays as Counters use knowledge of Random object', 'Arrays as Counters use knowledge of DieCount', 'Arrays as Counters use knowledge of Using Arrays as Counters']"
Artificial Intelligence,"['Artificial Intelligence is synonym of AI', 'Artificial Intelligence is subclass of Computer Science']"
Artificial Intelligence Assisted Test Case Generation,['Artificial Intelligence Assisted Test Case Generation is synonym of AI-Assisted Test Case Generation']
Assemblers,['Assemblers is subclass of Programming-Language Support']
Assembly Language,['Assembly Language is subclass of Programming-Language Support']
Assembly Line,['Assembly Line is synonym of Production']
Assessment Workflow,['Assessment Workflow is subclass of 7 Process Workflows in SPM']
Assigning Initial Values,['Assigning Initial Values is subclass of Arrays']
Assignments,"['Assignments is synonym of Homeworks', 'Assignments is subclass of Programming Skill Development', 'Assignments is subclass of Object-Oriented Programming']"
Associate,['Associate use knowledge of Class Diagram']
Associative Arrays,['Associative Arrays is synonym of Dictionaries']
Asymmetric Encryption,['Asymmetric Encryption is subclass of Encryption']
Async Await Promise Function,['Async Await Promise Function is subclass of Promise']
Asynchronous,['Asynchronous is subclass of Buffer Cache']
Asynchronous I/O,['Asynchronous I/O is subclass of I/O Structure']
Asynchronous JavaScript and XML,['Asynchronous JavaScript and XML is synonym of AJAX']
Asynchronous Programming,['Asynchronous Programming is subclass of Programming Paradigm']
Atmospheric Noise,['Atmospheric Noise is subclass of Random']
"Atomicity, Consistency, Isolation, Durability","['Atomicity, Consistency, Isolation, Durability is synonym of ACID']"
Attack Surface,['Attack Surface is subclass of Security']
Attacking Data Stores,['Attacking Data Stores is subclass of Attacking Backend']
Attacks,"['Attacks is subclass of Web Application Security', 'Attacks use knowledge of Injection Flaws', 'Attacks use knowledge of Cross-Site Request Forgery (CSRF)', 'Attacks use knowledge of Cross-Site Scripting (XSS)']"
Attendance,"['Attendance is subclass of Programming Skill Development', 'Attendance is subclass of Object-Oriented Programming']"
Attribute,['Attribute is synonym of Attributes of Entities']
AttributeError,['AttributeError is subclass of Common Exceptions']
Attributes,"['Attributes is subclass of Relational Data Model', 'Attributes is subclass of Data Modeling', 'Attributes is subclass of Entity Relationship Diagram', 'Attributes use knowledge of Domains', 'Attributes use knowledge of Value Sets', 'Attributes use knowledge of Data Types']"
Attributes of Entities,"['Attributes of Entities is subclass of Project Requirements', 'Attributes of Entities is subclass of Entity Relationship Diagram']"
Authentication,"['Authentication is subclass of Security Defenses', 'Authentication is subclass of Web Application Security', 'Authentication use knowledge of Session Management Vulnerabilities', 'Authentication use knowledge of JSON Web Token (JWT)']"
Authentication Algorithm,['Authentication Algorithm is subclass of Authentication']
Authentication Server,"['Authentication Server use knowledge of Token Checker', 'Authentication Server use knowledge of JSON Web Token (JWT)']"
Authentication Testing,"['Authentication Testing is subclass of Security Testing', 'Authentication Testing use knowledge of Brute Force Attack', 'Authentication Testing use knowledge of Alternative Channel', 'Authentication Testing use knowledge of Weaker Authentication', 'Authentication Testing use knowledge of Reset Functionalities', 'Authentication Testing use knowledge of Password Change', 'Authentication Testing use knowledge of Security Question', 'Authentication Testing use knowledge of Dictionaries', 'Authentication Testing use knowledge of Weak Password Policy', 'Authentication Testing use knowledge of Browser Cache Weaknesses', 'Authentication Testing use knowledge of Vulnerable Remember Password', 'Authentication Testing use knowledge of Bypassing Authentication Schema', 'Authentication Testing use knowledge of Brute Force', 'Authentication Testing use knowledge of Weak Lock Out Mechanism', 'Authentication Testing use knowledge of Default Credentials', 'Authentication Testing use knowledge of Credentials']"
Authenticators,['Authenticators is subclass of Authentication']
Authorization,['Authorization use knowledge of Access Control Flaws']
Authorization Testing,['Authorization Testing is subclass of Security Testing']
Auto Class,"['Auto Class is subclass of User-Defined Classes', 'Auto Class use knowledge of gallonsOfGas', 'Auto Class use knowledge of milesDriven', 'Auto Class use knowledge of model']"
Auto reference,['Auto reference use knowledge of spyder']
Auto-DCA,['Auto-DCA is subclass of Trading Strategies']
Auto-Recovery,['Auto-Recovery is synonym of Self-Healing Systems']
AutoClient,"['AutoClient use knowledge of mini', 'AutoClient use knowledge of suv', 'AutoClient use knowledge of sedan']"
Automate Testing,"['Automate Testing use knowledge of Cypress', 'Automate Testing use knowledge of Acceptance Test', 'Automate Testing use knowledge of Unit Test']"
Automated Dollar Cost Averaging,['Automated Dollar Cost Averaging is synonym of Auto-DCA']
"Automated Enigma Code Cracking, Circa 1940","['Automated Enigma Code Cracking, Circa 1940 use knowledge of The Enigma Machine, Circa 1930']"
Automated Remediation,['Automated Remediation is synonym of Self-Healing Systems']
Automated Solutions,['Automated Solutions use knowledge of Automation']
Automated Test Scripts,['Automated Test Scripts is synonym of Test Automation Scripts']
Automated Testing,"['Automated Testing is synonym of Automate Testing', 'Automated Testing is synonym of Automation']"
Automated testing,['Automated testing is synonym of Software Testing']
Automation,"['Automation is subclass of Process Improvement', 'Automation use knowledge of Configuration as code', 'Automation use knowledge of CI/CD Pipelines', 'Automation use knowledge of Bash Scripting']"
Automation Development,"['Automation Development use knowledge of Test Automation Scripts', 'Automation Development use knowledge of Automation Frameworks']"
Automation Frameworks,"['Automation Frameworks use knowledge of Test Automation Scripts', 'Automation Frameworks use knowledge of TypeScript', 'Automation Frameworks use knowledge of Playwright']"
Availability,['Availability is subclass of Security']
Availability Testing,['Availability Testing is subclass of Performance Testing']
Average,['Average is subclass of SQL Functions']
Average access time,"['Average access time is subclass of Positioning time', 'Average access time use knowledge of Rotational latency', 'Average access time use knowledge of Seek time']"
Axios,['Axios is subclass of Front-end Development']
BA,"['BA is subclass of Role', 'BA use knowledge of Analysis', 'BA use knowledge of Business Requirement']"
BMR Formula,['BMR Formula is synonym of Basal Metabolic Rate Formula']
Back End,"['Back End is subclass of Software Development', 'Back End use knowledge of Back End Engineering']"
Back End Engineering,"['Back End Engineering is subclass of Software Engineering', 'Back End Engineering is subclass of Software Development', 'Back End Engineering use knowledge of Troubleshooting', 'Back End Engineering use knowledge of Debugging', 'Back End Engineering use knowledge of Version Control Systems', 'Back End Engineering use knowledge of Coding Standards', 'Back End Engineering use knowledge of Software Integrations', 'Back End Engineering use knowledge of Databases', 'Back End Engineering use knowledge of Deployment', 'Back End Engineering use knowledge of CI/CD', 'Back End Engineering use knowledge of Testing Techniques', 'Back End Engineering use knowledge of Functional Programming', 'Back End Engineering use knowledge of Object-Oriented Programming', 'Back End Engineering use knowledge of Non-Relational Databases', 'Back End Engineering use knowledge of Relational Databases', 'Back End Engineering use knowledge of APIs', 'Back End Engineering use knowledge of Fault-Tolerant Systems', 'Back End Engineering use knowledge of Scalable Systems']"
Back Office,"['Back Office is subclass of Business Function', 'Back Office use knowledge of Management']"
Back Up,['Back Up is subclass of Recovery']
Back end,['Back end is synonym of Back-end Development']
Back-end Development,"['Back-end Development is synonym of Backend', 'Back-end Development is subclass of Software Implementation', 'Back-end Development is subclass of Software Engineering', 'Back-end Development is subclass of Software Development Project', 'Back-end Development use knowledge of CORS', 'Back-end Development use knowledge of CRUD API', 'Back-end Development use knowledge of CRUD', 'Back-end Development use knowledge of Database Management', 'Back-end Development use knowledge of REST-API', 'Back-end Development use knowledge of SQL', 'Back-end Development use knowledge of JSON', 'Back-end Development use knowledge of REST', 'Back-end Development use knowledge of Back-end Programming Languages', 'Back-end Development use knowledge of Servers', 'Back-end Development use knowledge of Databases', 'Back-end Development use knowledge of API', 'Back-end Development use knowledge of ExpressJS', 'Back-end Development use knowledge of Node.js', 'Back-end Development use knowledge of RESTful APIs', 'Back-end Development use knowledge of Express.js']"
Back-end Programming Languages,['Back-end Programming Languages is subclass of Programming']
BackEnd Dev,['BackEnd Dev is subclass of Software Development']
Backend,"['Backend is synonym of Back End', 'Backend is synonym of Backend Development', 'Backend is synonym of Back-end Development', 'Backend is synonym of Web Backend', 'Backend is subclass of Software Development', 'Backend use knowledge of NodeJS', 'Backend use knowledge of Kotlin']"
Backend Development,"['Backend Development is synonym of Back-end Development', 'Backend Development is subclass of Software Engineering']"
Backend Engineering,['Backend Engineering is synonym of Back End Engineering']
Backend Service,['Backend Service is subclass of Backend Development']
Bakery Algorithm,"['Bakery Algorithm is subclass of Process Synchronization', 'Bakery Algorithm use knowledge of Bounded Waiting', 'Bakery Algorithm use knowledge of Progress', 'Bakery Algorithm use knowledge of Mutual Exclusion']"
Balance,['Balance is subclass of BankAccount Class']
BankAccount Class,"['BankAccount Class is subclass of Classes', 'BankAccount Class use knowledge of toString()', 'BankAccount Class use knowledge of withdraw()', 'BankAccount Class use knowledge of deposit()', 'BankAccount Class use knowledge of getBalance()', 'BankAccount Class use knowledge of Overloaded constructor', 'BankAccount Class use knowledge of Default constructor']"
Banker,"[""Banker is synonym of Banker's Algorithm""]"
